0,1,0.5488135023,0,Difference:,IGG:,IPG,Std Deviation:
3,546,181.0314434,131,,,,
3,550,182.578697,132,,,,
3,554,183.81741,133,,,,
3,558,185.0424181,134,,,,
3,562,186.2576475,135,,,,
3,566,187.4678795,136,,,,
3,570,189.0816605,137,,,,
3,574,190.3118171,138,,,,
3,578,191.5888248,139,,,,
3,582,192.8482321,140,,,,
3,586,194.0587203,141,,,,
3,590,195.3021549,142,,,,
3,594,196.5655011,143,,,,
3,598,197.9494744,144,,,,
3,602,199.3844922,145,,,,
